Sucursal,Fecha,Ingresos,Socios,% Socios Premium,Ventas,Recomendación,De Paso,Google,Instagram,Facebook,Radio,Activación,Corporativo,Otros
Chapalita,may-22,1795273.5,2358,0.514418999,264,105,215,16,9,12,0,1,2,30
Chapalita,jun-22,1588145,2358,0.511450382,139,46,158,1,2,3,0,0,5,4
Chapalita,jul-22,1671262.33,2409,0.519302615,177,52,159,1,6,2,0,0,14,5
Chapalita,ago-22,1766396.7,2471,0.516390125,175,30,233,0,2,0,0,0,14,5
Chapalita,sep-22,2330073.9,2500,0.5204,175,17,172,2,3,0,0,0,2,7
Chapalita,oct-22,1837676.6,2496,0.513221154,142,16,196,2,7,1,0,0,0,9
Chapalita,nov-22,1851416.3,2507,0.511368169,150,14,167,1,3,0,0,0,4,5
Chapalita,dic-22,1738976.089,2488,0.511655949,54,7,88,0,6,2,0,1,1,13
Chapalita,ene-23,1947778.7,2667,0.532433446,304,28,286,1,17,6,1,0,1,7
Chapalita,feb-23,1970363.83,2670,0.536329588,148,6,188,1,23,4,2,1,6,7
Chapalita,mar-23,2418343.31,2717,0.545822598,202,14,191,2,21,12,1,0,4,6
Chapalita,abr-23,2044182.87,2720,0.542279412,130,13,125,0,15,5,0,0,6,6
